domain,tld,length,vowel_ratio,has_number,tld_score,keyword_score,brand_score,price,tier
trykriri.in,.in,8,0.25,0,0.9,0.9117,0.7703,25465500,high
flow.com,.com,4,0.25,0,1.0,0.4509,0.6084,298000,medium
huvin.co.in,.co.in,5,0.4,0,0.6,0.3998,0.765,505500,medium
kipraai.app,.app,7,0.5714,0,0.75,0.8587,0.8307,29045500,high
connectez.info,.info,9,0.3333,0,0.18,0.1643,0.3653,79000,low
dazone.org,.org,6,0.5,0,0.58,0.2483,0.4863,113000,low
omnodazara.dev,.dev,10,0.5,0,0.7,0.6753,0.6555,388500,medium
penametuop.biz,.biz,10,0.5,0,0.15,0.3536,0.3794,49000,low
devrico.in,.in,7,0.4286,0,0.9,0.7164,0.6212,1411500,medium
newvin.net,.net,6,0.3333,0,0.65,0.5099,0.7117,517000,medium
wypule.ai,.ai,6,0.3333,0,0.95,0.84,0.8854,11412000,high
nova.io,.io,4,0.5,0,0.85,0.644,0.761,306500,medium
cahq.dev,.dev,4,0.25,0,0.7,0.6608,0.7285,249000,medium
graminhu.co.in,.co.in,8,0.375,0,0.6,0.7104,0.6497,389500,medium
connectsha.xyz,.xyz,10,0.3,0,0.3,0.1253,0.3882,113000,low
service.xyz,.xyz,7,0.4286,0,0.3,0.2018,0.5152,39000,low
krishi.dev,.dev,6,0.3333,0,0.7,0.6406,0.6569,477500,medium
opcloud.io,.io,7,0.4286,0,0.85,0.9007,0.8385,28185500,high
ompralab.in,.in,8,0.375,0,0.9,0.72,0.6198,419500,medium
art75.co.in,.co.in,5,0.2,1,0.6,0.0822,0.4934,43000,low
calab.io,.io,5,0.4,0,0.85,0.72,0.6893,470500,medium
mex.io,.io,3,0.3333,0,0.85,0.9963,0.9531,51724500,high
bestbha.in,.in,7,0.2857,0,0.9,0.3554,0.4075,86500,low
prabhaezshahuopvin.co.in,.co.in,18,0.3889,0,0.6,0.3439,0.2776,60500,low
rajreal.io,.io,7,0.4286,0,0.85,0.5436,0.6979,688000,medium
wyshakti.co.in,.co.in,8,0.25,0,0.6,0.6952,0.5565,368500,medium
bestbha.biz,.biz,7,0.2857,0,0.15,0.2796,0.46,79000,low
nrisi.app,.app,5,0.4,0,0.75,0.963,0.8834,30354000,high
ezdost.app,.app,6,0.3333,0,0.75,0.72,0.631,762000,medium
bulab.com,.com,5,0.4,0,1.0,0.7111,0.741,649500,medium
krivyax.app,.app,7,0.2857,0,0.75,0.4994,0.5769,1178000,medium
gramin.net,.net,6,0.3333,0,0.65,0.4586,0.7282,606500,medium
axophuunra.biz,.biz,10,0.5,0,0.15,0.0618,0.3331,78000,low
devwyai.com,.com,7,0.4286,0,1.0,1.0,0.8367,46736000,high
credit.io,.io,6,0.3333,0,0.85,0.8748,0.8381,14587500,high
qoshavyvy.co.in,.co.in,9,0.2222,0,0.6,0.0494,0.416,61000,low
pralab.io,.io,6,0.3333,0,0.85,0.554,0.6008,556000,medium
mypepu.co.in,.co.in,6,0.3333,0,0.6,0.6937,0.7283,605000,medium
ophq.tech,.tech,4,0.25,0,0.55,0.6852,0.7262,890500,medium
leraj.co,.co,5,0.4,0,0.8,0.7382,0.8826,31984000,high
tryvyxe.app,.app,7,0.1429,0,0.75,0.801,0.7523,32772000,high
new.app,.app,3,0.3333,0,0.75,0.72,0.7551,563000,medium
vinmeinfo.in,.in,9,0.4444,0,0.9,0.3715,0.4869,158000,low
groupsha.xyz,.xyz,8,0.375,0,0.3,0.0151,0.5323,39000,low
swadeshom.dev,.dev,9,0.3333,0,0.7,0.6832,0.6299,745000,medium
dalab.co,.co,5,0.4,0,0.8,0.5207,0.6414,507500,medium
mynatu.app,.app,6,0.3333,0,0.75,0.691,0.7156,441000,medium
bestxera.info,.info,8,0.375,0,0.18,0.259,0.5755,59000,low
unnokri.com,.com,7,0.4286,0,1.0,0.6658,0.6502,988500,medium
centerpe.co.in,.co.in,8,0.375,0,0.6,0.1956,0.4171,77000,low
optuhq.co,.co,6,0.3333,0,0.8,0.4836,0.6015,1329500,medium
mokri.co,.co,5,0.4,0,0.8,0.9351,0.8715,20544000,high
softsha.in,.in,7,0.2857,0,0.9,0.6559,0.563,340500,medium
gamesvy.co.in,.co.in,7,0.2857,0,0.6,0.1365,0.3929,107500,low
pralab.in,.in,6,0.3333,0,0.9,0.6029,0.6812,898500,medium
greenpu.io,.io,7,0.4286,0,0.85,0.57,0.7303,742500,medium
games.in,.in,5,0.4,0,0.9,0.2269,0.6389,96000,low
vinhutuunwyraj.info,.info,14,0.3571,0,0.18,0.1429,0.4746,36500,low
rupeeax.ai,.ai,7,0.5714,0,0.95,0.8951,0.8443,24630000,high
koza.com,.com,4,0.5,0,1.0,0.9472,0.8314,30104500,high
caqo.app,.app,4,0.5,0,0.75,0.447,0.7022,587500,medium
credit.app,.app,6,0.3333,0,0.75,1.0,0.7795,18001500,high
ai.co,.co,2,1.0,0,0.8,1.0,0.6685,18755000,high
leshakti.dev,.dev,8,0.375,0,0.7,0.72,0.7002,820500,medium
bestbha.online,.online,7,0.2857,0,0.25,0.2312,0.5248,73000,low
bankpe.app,.app,6,0.3333,0,0.75,0.9132,0.8423,28759500,high
shameai.ai,.ai,7,0.5714,0,0.95,0.9967,0.7952,10031000,high
sankrishi.com,.com,9,0.3333,0,1.0,0.5309,0.5901,946500,medium
gowysha.app,.app,7,0.2857,0,0.75,1.0,0.8345,12832500,high
rajnaworld.in,.in,10,0.3,0,0.9,0.2211,0.4881,54500,low
bazaar26.dev,.dev,8,0.375,1,0.7,0.4606,0.6139,445500,medium
zadabhaez.app,.app,9,0.4444,0,0.75,0.528,0.6378,664500,medium
mediasan.dev,.dev,8,0.5,0,0.7,0.585,0.6484,313500,medium
softhu.net,.net,6,0.3333,0,0.65,0.4627,0.7141,524000,medium
luop.io,.io,4,0.5,0,0.85,0.6114,0.7513,829000,medium
fohq.app,.app,4,0.25,0,0.75,0.6553,0.7413,1213000,medium
pay37.in,.in,5,0.2,1,0.9,0.8515,0.8022,9274000,high
riai.app,.app,4,0.75,0,0.75,1.0,0.7004,38447000,high
lezaco.co.in,.co.in,6,0.5,0,0.6,0.4248,0.7149,324500,medium
daprasan.io,.io,8,0.375,0,0.85,0.9551,0.8375,57585500,high
tuworld.net,.net,7,0.2857,0,0.65,0.1839,0.5373,79500,low
goki.io,.io,4,0.5,0,0.85,0.8984,0.9155,43594000,high
lulab.app,.app,5,0.4,0,0.75,0.72,0.7785,767000,medium
huteca.dev,.dev,6,0.5,0,0.7,0.3953,0.6162,444500,medium
axlejiluqobha.in,.in,13,0.4615,0,0.9,0.2001,0.454,72000,low
ombase.io,.io,6,0.5,0,0.85,0.5516,0.6044,651000,medium
shavidya.net,.net,8,0.375,0,0.65,0.72,0.6942,394500,medium
nextpe.co.in,.co.in,6,0.3333,0,0.6,0.5063,0.6184,672500,medium
crypto.ai,.ai,6,0.1667,0,0.95,1.0,0.8036,28942000,high
ezlab.co,.co,5,0.4,0,0.8,0.4839,0.7684,558500,medium
trade.co,.co,5,0.4,0,0.8,1.0,0.9465,34819500,high
puonline.site,.site,8,0.5,0,0.2,0.0105,0.3725,81000,low
trypeop.ai,.ai,7,0.2857,0,0.95,0.7866,0.8343,19630500,high
indiasi.ai,.ai,7,0.5714,0,0.95,1.0,0.7706,43703500,high
shikshaji.co.in,.co.in,9,0.3333,0,0.6,0.0294,0.5257,146000,low
riportal.org,.org,8,0.375,0,0.58,0.0382,0.4365,62500,low
spark.tech,.tech,5,0.2,0,0.55,0.7021,0.617,649000,medium
seva.app,.app,4,0.5,0,0.75,1.0,0.8461,30681000,high
eznews.biz,.biz,6,0.3333,0,0.15,0.0144,0.4442,108500,low
unkrihq.com,.com,7,0.2857,0,1.0,0.6079,0.6274,551000,medium
naunda.ai,.ai,6,0.5,0,0.95,0.8222,0.8313,6744000,high
shavifojivy.com,.com,11,0.3636,0,1.0,0.6176,0.5836,776000,medium
fopraburaezraj.net,.net,14,0.4286,0,0.65,0.1146,0.3398,75500,low
vinaxqotukosime.site,.site,15,0.4667,0,0.2,0.3512,0.323,38500,low
digital10.app,.app,9,0.3333,1,0.75,1.0,0.7712,30733500,high
mediaraj.app,.app,8,0.5,0,0.75,0.72,0.6197,694000,medium
rizakida.net,.net,8,0.5,0,0.65,0.6942,0.6749,929000,medium
sanrionline.site,.site,11,0.4545,0,0.2,0.0345,0.3675,72500,low
omezte.app,.app,6,0.5,0,0.75,0.8713,0.8117,51556500,high
onlinehu.site,.site,8,0.5,0,0.2,0.1536,0.5102,78500,low
praco.in,.in,5,0.4,0,0.9,0.6345,0.7377,1022500,medium
jiop.app,.app,4,0.5,0,0.75,0.8972,0.781,2853000,high
nacavin.io,.io,7,0.4286,0,0.85,0.3691,0.6376,372000,medium
riportal.in,.in,8,0.375,0,0.9,0.3427,0.482,145000,low
samay.org,.org,5,0.4,0,0.58,0.3254,0.5923,157500,low
kote.net,.net,4,0.5,0,0.65,0.4734,0.7409,762500,medium
lukrihq.io,.io,7,0.2857,0,0.85,0.4052,0.5823,778500,medium
puridavy.io,.io,8,0.375,0,0.85,0.4711,0.7175,438500,medium
vyapar.co,.co,6,0.3333,0,0.8,0.5551,0.664,625500,medium
merajlesixetevin.online,.online,16,0.4375,0,0.25,0.1847,0.4273,44500,low
tryvinhu.app,.app,8,0.25,0,0.75,0.898,0.7861,66641500,high
crypto4.ai,.ai,7,0.1429,1,0.95,0.8697,0.674,4643000,high
ezkrihq.app,.app,7,0.2857,0,0.75,0.6971,0.7017,1433000,medium
kico.co,.co,4,0.5,0,0.8,0.6641,0.7489,1059500,medium
next.co,.co,4,0.25,0,0.8,0.7132,0.7464,579500,medium
business11.org,.org,10,0.3,1,0.58,0.0589,0.444,30000,low
tryvyfo.in,.in,7,0.1429,0,0.9,0.901,0.6423,19223000,high
ridevinfo.co.in,.co.in,9,0.4444,0,0.6,0.0461,0.4675,61000,low
caonline.xyz,.xyz,8,0.5,0,0.3,0.1554,0.3887,121500,low
ezbhasoft.dev,.dev,9,0.3333,0,0.7,0.72,0.5958,449500,medium
next.net,.net,4,0.25,0,0.65,0.4665,0.6559,341500,medium
mediaez.co,.co,7,0.5714,0,0.8,0.4682,0.5705,377500,medium
sewa.info,.info,4,0.5,0,0.18,0.0377,0.4327,87000,low
bestfo.info,.info,6,0.3333,0,0.18,0.1608,0.4657,69500,low
krituleko.biz,.biz,9,0.4444,0,0.15,0.2489,0.395,120000,low
siapp.in,.in,5,0.4,0,0.9,0.5965,0.7661,505000,medium
sijix.in,.in,5,0.4,0,0.9,0.7837,0.8608,42531000,high
kodhan.app,.app,6,0.3333,0,0.75,1.0,0.9037,39456000,high
oprahq.tech,.tech,6,0.3333,0,0.55,0.6043,0.5973,946500,medium
xeco.com,.com,4,0.5,0,1.0,0.391,0.7575,1045500,medium
goshapu.in,.in,7,0.4286,0,0.9,0.9815,0.7497,26372500,high
xena.app,.app,4,0.5,0,0.75,0.9863,0.8694,10467500,high
praxe.in,.in,5,0.4,0,0.9,0.8958,0.8699,54867000,high
nacloud.com,.com,7,0.4286,0,1.0,0.4557,0.645,294000,medium
axvieznofo.dev,.dev,10,0.5,0,0.7,0.3543,0.5735,253500,medium
gramin.dev,.dev,6,0.3333,0,0.7,0.5964,0.6623,732000,medium
pukoxe.app,.app,6,0.5,0,0.75,0.9464,0.8175,54820500,high
khojraj.info,.info,7,0.2857,0,0.18,0.1081,0.4815,109000,low
tecore.io,.io,6,0.5,0,0.85,0.72,0.6908,345000,medium
moriravidadevqo.co.in,.co.in,15,0.4667,0,0.6,0.3552,0.3031,44500,low
luvionline.biz,.biz,10,0.5,0,0.15,0.3308,0.5023,63000,low
vidya95.co,.co,7,0.2857,1,0.8,0.5851,0.5581,326500,medium
niftyza.app,.app,7,0.2857,0,0.75,0.9427,0.8658,26640500,high
shafx.ai,.ai,5,0.2,0,0.95,0.8859,0.7492,3340000,high
teai.ai,.ai,4,0.75,0,0.95,1.0,0.6332,5849500,high
gyanlu.xyz,.xyz,6,0.3333,0,0.3,0.0072,0.5897,66500,low
dataop.io,.io,6,0.5,0,0.85,1.0,0.866,44759500,high
xewy.io,.io,4,0.25,0,0.85,0.9668,0.7938,81072000,high
power.app,.app,5,0.4,0,0.75,1.0,0.9185,43564500,high
myca.io,.io,4,0.25,0,0.85,0.5388,0.667,1159500,medium
shakozone.org,.org,9,0.4444,0,0.58,0.3383,0.4824,96000,low
auto.co,.co,4,0.75,0,0.8,1.0,0.6507,30471000,high
videsign.co.in,.co.in,8,0.375,0,0.6,0.2737,0.4391,64000,low
trademe.co,.co,7,0.4286,0,0.8,1.0,0.8946,17345500,high
viportal.biz,.biz,8,0.375,0,0.15,0.3596,0.4911,113500,low
cloudsha.io,.io,8,0.375,0,0.85,0.72,0.6983,703000,medium
bazaar35.app,.app,8,0.375,1,0.75,0.6443,0.7068,464500,medium
vysoft.co.in,.co.in,6,0.1667,0,0.6,0.5539,0.5354,256500,medium
ezvype.net,.net,6,0.3333,0,0.65,0.6861,0.6148,958500,medium
blog.in,.in,4,0.25,0,0.9,0.102,0.4556,115000,low
serviceraj.site,.site,10,0.4,0,0.2,0.2534,0.5374,115000,low
kivinji.app,.app,7,0.4286,0,0.75,0.4124,0.6469,427500,medium
ezpuno.co.in,.co.in,6,0.5,0,0.6,0.5363,0.6892,723500,medium
dacore.net,.net,6,0.5,0,0.65,0.4704,0.5954,578500,medium
soft23.com,.com,6,0.1667,1,1.0,0.5989,0.6545,764000,medium
netbu.app,.app,5,0.4,0,0.75,0.72,0.7016,1248000,medium
peco.io,.io,4,0.5,0,0.85,0.6023,0.7705,877500,medium
buy33.com,.com,5,0.2,1,1.0,1.0,0.7239,40492500,high
lemeleri.net,.net,8,0.5,0,0.65,0.6627,0.5931,560500,medium
lablu.co.in,.co.in,5,0.4,0,0.6,0.72,0.7549,509500,medium
omunhu.net,.net,6,0.5,0,0.65,0.3997,0.6005,391500,medium
cloud.net,.net,5,0.4,0,0.65,0.5473,0.7644,423500,medium
wytrade.com,.com,7,0.2857,0,1.0,0.9239,0.7393,31031000,high
moinfo.xyz,.xyz,6,0.5,0,0.3,0.2345,0.5449,63000,low
riswasth.app,.app,8,0.25,0,0.75,0.5567,0.5677,697500,medium
bupelab.com,.com,7,0.4286,0,1.0,0.5375,0.5981,417500,medium
vinco.co,.co,5,0.4,0,0.8,0.4138,0.7504,902500,medium
nozari.co,.co,6,0.5,0,0.8,0.4872,0.7128,865500,medium
devbu.io,.io,5,0.4,0,0.85,0.4202,0.7662,301000,medium
shiksha.co.in,.co.in,7,0.2857,0,0.6,0.2087,0.502,55000,low
mynokri.net,.net,7,0.2857,0,0.65,0.6109,0.6045,271500,medium
devsoft.io,.io,7,0.2857,0,0.85,0.5143,0.66,326500,medium
bhaopmocaun.online,.online,11,0.4545,0,0.25,0.3331,0.3339,44500,low
rajme.com,.com,5,0.4,0,1.0,0.8139,0.9581,86783000,high
spark.dev,.dev,5,0.2,0,0.7,0.4576,0.613,588000,medium
jijify.ai,.ai,6,0.3333,0,0.95,0.8074,0.8445,30857000,high
healthdev.in,.in,9,0.3333,0,0.9,1.0,0.6942,14237000,high
prakrishi.io,.io,9,0.3333,0,0.85,0.72,0.6646,879500,medium
myfobu.io,.io,6,0.3333,0,0.85,0.591,0.6728,1121500,medium
devtuhq.net,.net,7,0.2857,0,0.65,0.6717,0.693,411000,medium
sanpra.in,.in,6,0.3333,0,0.9,0.5459,0.702,1420000,medium
molab.co,.co,5,0.4,0,0.8,0.72,0.7192,304000,medium
livele.com,.com,6,0.5,0,1.0,0.9312,0.8765,8890000,high
sundar85.co.in,.co.in,8,0.25,1,0.6,0.2682,0.4905,38500,low
seva.com,.com,4,0.5,0,1.0,0.9542,0.8181,28235000,high
aisha.app,.app,5,0.6,0,0.75,0.917,0.7579,30135000,high
shabuhu.ai,.ai,7,0.4286,0,0.95,0.888,0.7707,37121500,high
nabunafoaxsivy.co.in,.co.in,14,0.4286,0,0.6,0.1774,0.3419,79000,low
power.io,.io,5,0.4,0,0.85,1.0,0.8745,31104500,high
bazaar95.tech,.tech,8,0.375,1,0.55,0.7114,0.6723,473500,medium
portal.in,.in,6,0.3333,0,0.9,0.3424,0.6013,144500,low
nri31.io,.io,5,0.2,1,0.85,1.0,0.7343,23515500,high
puqofo.io,.io,6,0.5,0,0.85,0.8282,0.7646,14357000,high
nomofote.net,.net,8,0.5,0,0.65,0.2318,0.4144,94000,low
krizasan.in,.in,8,0.375,0,0.9,0.705,0.7861,64659000,high
core.tech,.tech,4,0.5,0,0.55,0.597,0.682,258500,medium
appbu.in,.in,5,0.4,0,0.9,0.6339,0.6853,578500,medium
sundar22.online,.online,8,0.25,1,0.25,0.0992,0.4392,80000,low
site.site,.site,4,0.5,0,0.2,0.0213,0.4334,72000,low
mobank.ai,.ai,6,0.3333,0,0.95,0.9971,0.7602,3703500,high
kriezbase.io,.io,9,0.4444,0,0.85,0.4891,0.6366,673000,medium
peluzasha.biz,.biz,9,0.4444,0,0.15,0.2465,0.5282,103500,low
huunplace.in,.in,9,0.4444,0,0.9,0.3199,0.3941,87000,low
vyvyrizashakri.online,.online,14,0.2857,0,0.25,0.1441,0.3334,33500,low
nocenter.co.in,.co.in,8,0.375,0,0.6,0.2207,0.4652,59000,low
jihub.co,.co,5,0.4,0,0.8,0.5464,0.6787,397500,medium
rajnet.app,.app,6,0.3333,0,0.75,0.72,0.6513,1107000,medium
noluzone.org,.org,8,0.5,0,0.58,0.1212,0.417,110500,low
new23.io,.io,5,0.2,1,0.85,0.4967,0.5432,300000,medium
focredit.io,.io,8,0.375,0,0.85,1.0,0.8014,9555500,high
powerqo.in,.in,7,0.4286,0,0.9,0.9608,0.7822,48544000,high
viprahub.in,.in,8,0.375,0,0.9,0.3606,0.6008,654500,medium
dhanvi.in,.in,6,0.3333,0,0.9,0.9427,0.8323,7273500,high
devcore.app,.app,7,0.4286,0,0.75,0.6929,0.7275,792500,medium
koinfo.co.in,.co.in,6,0.5,0,0.6,0.3588,0.5221,157500,low
leco.co.in,.co.in,4,0.5,0,0.6,0.5226,0.7205,784000,medium
kohub.tech,.tech,5,0.4,0,0.55,0.5133,0.7565,379000,medium
catebuvinsha.com,.com,12,0.4167,0,1.0,0.664,0.6264,398500,medium
leinfo.site,.site,6,0.5,0,0.2,0.078,0.5114,39000,low
dataza.co,.co,6,0.5,0,0.8,0.9354,0.8607,17354500,high
online.in,.in,6,0.5,0,0.9,0.0763,0.4013,93000,low
vyapar.net,.net,6,0.3333,0,0.65,0.72,0.596,574500,medium
bharatkri.in,.in,9,0.3333,0,0.9,1.0,0.7105,15323000,high
namobuun.biz,.biz,8,0.5,0,0.15,0.0162,0.5103,82000,low
pragroup.co.in,.co.in,8,0.375,0,0.6,0.1069,0.4065,87000,low
hub.in,.in,3,0.3333,0,0.9,0.9522,0.8996,33952500,high
gyan.online,.online,4,0.25,0,0.25,0.0158,0.4235,112000,low
qosi.ai,.ai,4,0.5,0,0.95,0.7417,0.7774,66519000,high
core59.net,.net,6,0.3333,1,0.65,0.4863,0.6157,345500,medium
myvin.io,.io,5,0.2,0,0.85,0.4757,0.6917,1076500,medium
fintech93.co,.co,9,0.2222,1,0.8,1.0,0.755,14772500,high
wyrajio.ai,.ai,7,0.4286,0,0.95,1.0,0.7478,11197000,high
smart.app,.app,5,0.2,0,0.75,0.8864,0.7724,31373500,high
goaxvy.in,.in,6,0.3333,0,0.9,1.0,0.7724,20654500,high
rashakti.co.in,.co.in,8,0.375,0,0.6,0.5894,0.6461,273000,medium
ezca.ai,.ai,4,0.5,0,0.95,0.8827,0.8761,80933500,high
qox.co,.co,3,0.3333,0,0.8,0.9733,0.875,30546000,high
vinrajtelewyfo.co.in,.co.in,14,0.3571,0,0.6,0.0757,0.3265,79000,low
teraco.in,.in,6,0.5,0,0.9,0.411,0.6181,983000,medium
vykokida.co.in,.co.in,8,0.375,0,0.6,0.3763,0.4714,60500,low
blogpra.online,.online,7,0.2857,0,0.25,0.0008,0.39,126500,low
ramewyxefo.online,.online,10,0.4,0,0.25,0.0982,0.5276,50000,low
jiopx.in,.in,5,0.4,0,0.9,0.9237,0.7909,41593500,high
getax.co,.co,5,0.4,0,0.8,0.9082,0.8677,50427500,high
mehub.tech,.tech,5,0.4,0,0.55,0.5388,0.6653,502500,medium
tradetu.co,.co,7,0.4286,0,0.8,1.0,0.8353,26278500,high
xerojgar.net,.net,8,0.375,0,0.65,0.2969,0.4106,81000,low
home.com,.com,4,0.5,0,1.0,0.6514,0.6843,554000,medium
getlewy.co,.co,7,0.2857,0,0.8,0.9006,0.822,4905500,high
huhu.com,.com,4,0.5,0,1.0,0.562,0.6148,258000,medium
milanca.biz,.biz,7,0.4286,0,0.15,0.0052,0.4832,32500,low
narilu.tech,.tech,6,0.5,0,0.55,0.6772,0.5862,268500,medium
linksan.com,.com,7,0.2857,0,1.0,0.72,0.6741,690500,medium
axvileomji.net,.net,10,0.5,0,0.65,0.0317,0.4092,65000,low
lenoezqo.io,.io,8,0.5,0,0.85,0.5195,0.6188,283000,medium
gettuvy.co,.co,7,0.2857,0,0.8,1.0,0.8676,17877500,high
nawysanputu.site,.site,11,0.3636,0,0.2,0.3053,0.4714,80000,low
xekri.com,.com,5,0.4,0,1.0,0.919,0.9258,11221500,high
opstore.tech,.tech,7,0.4286,0,0.55,0.656,0.7315,554500,medium
zasannaterajwy.site,.site,14,0.3571,0,0.2,0.109,0.3724,46500,low
sparkbu.com,.com,7,0.2857,0,1.0,0.6818,0.5977,408000,medium
digi9.co.in,.co.in,5,0.4,1,0.6,0.72,0.7295,490000,medium
mysha.tech,.tech,5,0.2,0,0.55,0.5398,0.638,994500,medium
zahq.io,.io,4,0.25,0,0.85,0.5856,0.6378,634000,medium
ezcaworld.online,.online,9,0.3333,0,0.25,0.2882,0.381,78000,low
newno.io,.io,5,0.4,0,0.85,0.6179,0.6865,508500,medium
vidyakri.in,.in,8,0.375,0,0.9,0.72,0.6775,308000,medium
huqohub.com,.com,7,0.4286,0,1.0,0.4542,0.634,631500,medium
myop.in,.in,4,0.25,0,0.9,0.4498,0.7205,851000,medium
samaytu.info,.info,7,0.4286,0,0.18,0.0731,0.527,45500,low
godevraj.com,.com,8,0.375,0,1.0,0.913,0.7314,23112000,high
digital.ai,.ai,7,0.4286,0,0.95,1.0,0.8642,16151000,high
shalubhawyjidev.org,.org,15,0.3333,0,0.58,0.3221,0.3742,98500,low
myaxca.tech,.tech,6,0.3333,0,0.55,0.4355,0.6001,1050000,medium
bank.in,.in,4,0.25,0,0.9,0.8686,0.8749,11655500,high
mejifosi.com,.com,8,0.5,0,1.0,0.7033,0.6965,569000,medium
vywyfo.co,.co,6,0.1667,0,0.8,0.9221,0.778,25521500,high
sanly.app,.app,5,0.2,0,0.75,0.9277,0.752,68340000,high
core.in,.in,4,0.5,0,0.9,0.6746,0.6657,508500,medium
indiaop.ai,.ai,7,0.5714,0,0.95,1.0,0.7257,28667000,high
devwyai.io,.io,7,0.4286,0,0.85,1.0,0.8772,16804000,high
xelefoop.in,.in,8,0.5,0,0.9,0.5177,0.5447,1335500,medium
kohotel.xyz,.xyz,7,0.4286,0,0.3,0.1467,0.4734,43500,low
zaza.app,.app,4,0.5,0,0.75,0.9942,0.7775,20479500,high
bhahub.app,.app,6,0.3333,0,0.75,1.0,0.8138,5064000,high
vyvyzone.co.in,.co.in,8,0.25,0,0.6,0.1654,0.4762,134000,low
coresha.co.in,.co.in,7,0.4286,0,0.6,0.72,0.7066,614000,medium
gokoji.ai,.ai,6,0.5,0,0.95,1.0,0.7465,7995000,high
digi27.dev,.dev,6,0.3333,1,0.7,0.5994,0.7313,352000,medium
invest.co,.co,6,0.3333,0,0.8,0.9245,0.8128,40187000,high
tryle.io,.io,5,0.2,0,0.85,0.9962,0.7209,71629000,high
omkokriom.io,.io,9,0.4444,0,0.85,0.4534,0.5854,999000,medium
nri71.ai,.ai,5,0.2,1,0.95,1.0,0.6989,40953500,high
prokri.co,.co,6,0.3333,0,0.8,1.0,0.7637,27566500,high
buonline.xyz,.xyz,8,0.5,0,0.3,0.1473,0.3959,59500,low
sanai.app,.app,5,0.6,0,0.75,1.0,0.7325,6514500,high
gramme.in,.in,6,0.3333,0,0.9,0.3563,0.585,162500,low
tuteworld.org,.org,9,0.3333,0,0.58,0.2085,0.4629,137000,low
rajteplace.online,.online,10,0.4,0,0.25,0.1919,0.4542,135500,low
tuhusha.dev,.dev,7,0.4286,0,0.7,0.3694,0.7032,263000,medium
media.tech,.tech,5,0.6,0,0.55,0.5111,0.6089,858000,medium
lab1.co.in,.co.in,4,0.25,1,0.6,0.6489,0.7104,201000,medium
tecloud.app,.app,7,0.4286,0,0.75,0.6337,0.6455,750500,medium
sync.app,.app,4,0.0,0,0.75,0.6687,0.4871,450500,medium
jishaki.app,.app,7,0.4286,0,0.75,0.4877,0.6993,919000,medium
fofintech.com,.com,9,0.3333,0,1.0,0.9679,0.6972,4074500,high
labza.co.in,.co.in,5,0.4,0,0.6,0.4714,0.7021,762000,medium
swasth11.dev,.dev,8,0.125,1,0.7,0.72,0.5882,151000,medium
getsha.ai,.ai,6,0.3333,0,0.95,0.9871,0.8793,9158500,high
sinolekihu.biz,.biz,10,0.5,0,0.15,0.039,0.3749,82500,low
cloudez.co.in,.co.in,7,0.4286,0,0.6,0.487,0.6022,503000,medium
prari.co,.co,5,0.4,0,0.8,0.9777,0.8488,64219000,high
busanza.com,.com,7,0.4286,0,1.0,0.7058,0.7889,10624000,high
kiai.com,.com,4,0.75,0,1.0,1.0,0.6602,32034000,high
milan36.info,.info,7,0.2857,1,0.18,0.3044,0.5185,28500,low
new33.io,.io,5,0.2,1,0.85,0.72,0.6497,471500,medium
sanonline.org,.org,9,0.4444,0,0.58,0.1138,0.4595,74000,low
spaceom.io,.io,7,0.4286,0,0.85,0.6285,0.7424,918000,medium
mehub.com,.com,5,0.4,0,1.0,0.4544,0.7751,985000,medium
vilupeno.in,.in,8,0.5,0,0.9,0.3632,0.5479,1133500,medium
tezone.site,.site,6,0.5,0,0.2,0.3282,0.4992,51000,low
zaqozasharavin.site,.site,14,0.4286,0,0.2,0.0896,0.31,26500,low
kriio.io,.io,5,0.6,0,0.85,0.9647,0.7606,6001000,high
oppurihubuluki.co.in,.co.in,14,0.5,0,0.6,0.0288,0.2575,65500,low
zabase.net,.net,6,0.5,0,0.65,0.4558,0.6549,421000,medium
sync.tech,.tech,4,0.0,0,0.55,0.5245,0.5661,338000,medium
rixena.app,.app,6,0.5,0,0.75,0.5527,0.6734,411000,medium
vynext.app,.app,6,0.1667,0,0.75,0.6131,0.6344,532000,medium
vygroup.info,.info,7,0.2857,0,0.18,0.194,0.5123,100000,low
sanpraworld.biz,.biz,11,0.2727,0,0.15,0.1728,0.3413,46500,low
shapeio.co,.co,7,0.5714,0,0.8,0.9491,0.8339,54401000,high
omopfoda.app,.app,8,0.5,0,0.75,0.6375,0.6195,476500,medium
kriai.com,.com,5,0.6,0,1.0,0.9904,0.6941,20107000,high
un.app,.app,2,0.5,0,0.75,0.9685,0.8245,53264000,high
kritech.io,.io,7,0.2857,0,0.85,0.8635,0.8175,25896500,high
dhanki.com,.com,6,0.3333,0,1.0,0.8855,0.8058,31476000,high
natedev.in,.in,7,0.4286,0,0.9,0.5048,0.681,699500,medium
penew.app,.app,5,0.4,0,0.75,0.6124,0.7015,869000,medium
visoft.in,.in,6,0.3333,0,0.9,0.4973,0.6271,485000,medium
jishapraxe.in,.in,10,0.4,0,0.9,0.302,0.5353,167500,low
mycamo.in,.in,6,0.3333,0,0.9,0.5307,0.7074,275500,medium
moza.net,.net,4,0.5,0,0.65,0.5771,0.7336,759000,medium
